model,dataset,ndcg_at_10,recall_at_10,map_at_10,mrr_at_10
mpnet_base,nfcorpus,0.31660946529333245,0.14885635552393328,0.1112454874280042,0.4893004570249152
mpnet_base,scifact,0.6210610997690723,0.7561111111111111,0.5723022486772487,0.5825476190476191
bge_base,nfcorpus,0.362690827322813,0.17338985308203334,0.1370632866172252,0.5487136960047176
bge_base,scifact,0.7458877980357718,0.8652222222222222,0.7035568783068783,0.7111190476190477
